,train,val,fold,family,superfamily
0,1.0,0.3953804347826087,0.25487465181058494,0.9504716981132075,0.45614035087719296
1,1.0,0.4008152173913043,0.25348189415041783,0.9504716981132075,0.45773524720893144
2,1.0,0.38858695652173914,0.2520891364902507,0.9504716981132075,0.4585326953748006
3,1.0,0.38722826086956524,0.2576601671309192,0.9504716981132075,0.45374800637958534
4,1.0,0.39266304347826086,0.2562674094707521,0.9559748427672956,0.4625199362041467
5,1.0,0.39266304347826086,0.2562674094707521,0.9567610062893082,0.46012759170653905
6,1.0,0.39402173913043476,0.2576601671309192,0.9567610062893082,0.4609250398724083
7,1.0,0.3953804347826087,0.2618384401114206,0.9591194968553459,0.46012759170653905
8,1.0,0.39266304347826086,0.2646239554317549,0.9591194968553459,0.46172248803827753
9,1.0,0.39945652173913043,0.25487465181058494,0.9614779874213837,0.46570972886762363
10,1.0,0.39809782608695654,0.2562674094707521,0.960691823899371,0.46411483253588515
